date,close,logp,bde,csw_excess,sadf,qadf,cadf,smt,hmm_state,hmm_bull_flag,bde_retro_flag,csw_retro_flag,sadf_retro_flag,smt_retro_flag,family_count_retro,consensus_retro,bde_online_flag,csw_online_flag,sadf_online_flag,smt_online_flag,family_count_online,consensus_online
2017-08-17,4285.08,8.362894500635898,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-18,4108.37,8.320781635152244,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-19,4139.98,8.328446235889817,,-1.4959058297634327,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-20,4086.29,8.315392746916785,,-1.3257036478453512,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-21,4016.0,8.298041661371565,,-1.0954997341005146,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-22,4040.0,8.303999970955196,,-1.2741702767298526,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-23,4114.01,8.322153500934304,,-1.2839989504208524,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-24,4316.01,8.37008664333549,,-0.3451980083735202,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-25,4280.68,8.361867154460663,,-1.0552975947964573,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-26,4337.44,8.375039591306415,,-0.9700280502523666,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-27,4310.01,8.368695503280717,,-1.2288644273299296,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-28,4386.69,8.386330235345987,,-1.0330038493656375,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-29,4587.48,8.431086132680297,,-0.3618469651895324,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-30,4555.14,8.424011544677278,,-0.8309573432061181,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-31,4724.89,8.46059955923357,,-0.5426685062025447,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-01,4834.91,8.483617793443205,,-0.36792425974757936,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-02,4472.14,8.405622320248314,,0.3560131027781135,,,,,-1,0,0,1,0,0,1,0,0,1,0,0,1,0
2017-09-03,4509.08,8.413848420556883,,-0.6737225446744064,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
