date,close,return,momentum_20d_positive,pos_BuyHold,ret_BuyHold,equity_BuyHold,event_BDE,pos_BDE,ret_BDE,equity_BDE,event_CSW,pos_CSW,ret_CSW,equity_CSW,event_SADF,pos_SADF,ret_SADF,equity_SADF,event_QADF,pos_QADF,ret_QADF,equity_QADF,event_CADF,pos_CADF,ret_CADF,equity_CADF,event_SMT,pos_SMT,ret_SMT,equity_SMT,event_Consensus,pos_Consensus,ret_Consensus,equity_Consensus
2017-08-17,302.0,0.0,False,1.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0
2017-08-18,293.96,-0.026622516556291442,False,1.0,-0.026622516556291442,0.9733774834437086,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0
2017-08-19,290.91,-0.01037556130085715,False,1.0,-0.01037556130085715,0.9632781456953643,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0
2017-08-20,299.1,0.02815303702175931,False,1.0,0.02815303702175931,0.9903973509933776,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0
2017-08-21,323.29,0.08087596121698426,False,1.0,0.08087596121698426,1.070496688741722,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0
2017-08-22,309.8,-0.04172724179529219,False,1.0,-0.04172724179529219,1.0258278145695365,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0
2017-08-23,315.74,0.019173660426081263,False,1.0,0.019173660426081263,1.0454966887417219,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0
2017-08-24,323.42,0.02432381073034784,False,1.0,0.02432381073034784,1.070927152317881,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0
2017-08-25,327.24,0.011811267083049914,False,1.0,0.011811267083049914,1.0835761589403976,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0
2017-08-26,330.79,0.010848307052927497,False,1.0,0.010848307052927497,1.0953311258278149,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0
2017-08-27,348.13,0.052419964327821145,False,1.0,0.052419964327821145,1.152748344370861,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0
2017-08-28,346.0,-0.006118404044466175,False,1.0,-0.006118404044466175,1.1456953642384107,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0
2017-08-29,374.7,0.08294797687861277,False,1.0,0.08294797687861277,1.2407284768211921,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0
2017-08-30,385.93,0.029970643181211676,False,1.0,0.029970643181211676,1.2779139072847683,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0
2017-08-31,384.79,-0.002953903557639914,False,1.0,-0.002953903557639914,1.2741390728476822,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0
2017-09-01,388.46,0.009537669897866197,False,1.0,0.009537669897866197,1.2862913907284768,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0
