date,close,logp,bde,csw_excess,sadf,qadf,cadf,smt,hmm_state,hmm_bull_flag,bde_retro_flag,csw_retro_flag,sadf_retro_flag,smt_retro_flag,family_count_retro,consensus_retro,bde_online_flag,csw_online_flag,sadf_online_flag,smt_online_flag,family_count_online,consensus_online
2020-08-11,3.2985,1.1934678196807886,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-12,3.7558,1.3233013117919687,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-13,3.73,1.3164082336557241,,-1.3551074704293842,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-14,3.4099,1.2266829653522278,,-1.1609817082763603,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-15,3.173,1.1546775126010584,,-0.9832212961030542,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-16,3.3885,1.2203873455940306,,-1.3532192615259309,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-17,3.11,1.1346227261911428,,-1.1173882505351513,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,3.3407,1.2061803658679366,,-1.2708574697949102,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-19,2.8868,1.060148622215981,,-0.5638297069526392,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-20,3.2038,1.164337605285246,,-1.0335001200173526,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-21,2.9317,1.0755824595534187,,-1.193160061168796,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-22,3.0126,1.1028034932865778,,-1.8098785681705924,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-23,3.25,1.1786549963416462,,-1.285388563932758,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-24,3.3405,1.206120496383395,,-1.4426392953354714,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-25,3.25,1.1786549963416462,,-1.811333303318588,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-26,3.5684,1.2721173160574915,,-1.0208547440340572,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-27,3.4501,1.238403216130443,,-1.7071316482529828,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-28,4.0063,1.3878681221081823,,-0.4168980428190472,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-29,3.9535,1.3746012625288446,,-1.155863301003495,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,4.4309,1.4886027236936714,,-0.7066243201993119,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-31,4.7435,1.5567752598507945,,-0.5773142369087452,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,4.3397,1.4678052212991473,,-1.1022269854579085,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-02,4.17,1.4279160358107101,,-1.2135045995994935,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-03,3.5051,1.2542190507500324,,-0.2064723195544922,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-04,3.5301,1.261326199155856,,-0.7630043495967334,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-05,2.6052,0.9575094476901094,,0.741235242650935,,,,,-1,0,0,1,0,0,1,0,0,1,0,0,1,0
2020-09-06,3.0941,1.1294970722491302,,-0.5610697878705484,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-07,2.9237,1.0728499374446698,,-0.8510897792191752,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-08,2.468,0.9034081060431414,,-0.4837094119983112,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-09,3.6001,1.2809616228540468,,0.7865220360579079,,,,,-1,0,0,1,0,0,1,0,0,1,0,0,1,0
2020-09-10,3.4761,1.2459109756889892,,-0.39067122020877254,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-11,3.3965,1.2227454896492196,,-0.9099233488555016,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-12,3.3316,1.2034526690790484,,-1.225879537545201,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-13,3.2603,1.1818192156844953,,-1.4634650848649342,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-14,3.2641,1.1829840738874515,,-1.5712841787878107,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-15,2.9295,1.0748317600027062,,-1.2357101541113589,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-16,2.5327,0.9292859273689664,,-0.8031394867467165,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-17,2.8829,1.0587967319638112,,-1.0660760659794286,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-18,3.1144,1.136036517314109,-0.1546984935419555,-1.0735390120998156,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-19,3.031,1.108892598075666,-0.29015736046722357,-1.5059856708310972,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-20,2.8628,1.0518001668823054,-0.519524835639877,-1.6548945038706306,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-21,2.7672,1.0178359786408218,-0.7447396287219474,-1.7419602797590807,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-22,2.9082,1.0675343330972482,-0.7864326318690812,-1.7092566594109162,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-23,2.8548,1.0490017881147753,-0.8479799055113149,-1.842785112633686,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-24,3.1433,1.1452732034671582,-0.7002226137858327,-1.2887748446957388,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-25,3.1937,1.1611801192700284,-0.5461559166295855,-1.5875936346166934,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-26,3.1287,1.1406175828131397,-0.4519668276760919,-1.906593872848584,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-27,3.1578,1.1498755826056513,-0.3522272904976642,-1.983517271259041,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-28,2.9599,1.0851554839815003,-0.37349348580540565,-1.5463769883202838,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29,2.9505,1.0819746475150864,-0.39071326142462726,-1.8521709812647922,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-30,2.8967,1.0635721580228423,-0.42943432004358784,-1.9171334020390798,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,2.8669,1.0532313066277679,-0.47301960907773616,-1.9728685529016388,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-02,2.6232,0.9643949465483015,-0.6453775629610746,-1.2961508505181518,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-03,2.5439,0.9336983365291884,-0.8329381134788685,-1.4862279147386304,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-04,2.5202,0.9243382634534557,-0.9993229232041031,-1.6634251563148652,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-05,2.6522,0.9753894842613616,-1.0585204770809133,-1.644816154331963,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-06,2.174,0.7765687886990177,-1.391812482843869,-0.2444874046921417,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-07,2.3005,0.8331264906133863,-1.57979605826471,-1.3331978467838366,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-08,2.3638,0.8602704935960032,-1.6949906493004094,-1.7268263346748156,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-09,2.5314,0.9287725093762109,-1.6958469272553132,-1.4774090847358052,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-10,2.3999,0.8754270698191536,-1.7553441567122983,-1.6218753739758864,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-11,2.4227,0.8848826207144748,-1.7853133412379771,-1.8463340622259625,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-12,2.5836,0.9491837751761807,-1.7192341967632423,-1.5062261725406594,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-13,2.4062,0.8780487396172871,-1.740029061280616,-1.4355374896069404,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-14,2.3107,0.8375505089323236,-1.7996242215292897,-1.5084805888699546,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-15,2.2682,0.8189865653990931,-1.8657533824051489,-1.62711621891642,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-16,2.1398,0.7607123667223692,-1.987133647420855,-1.489097284940167,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-17,2.2053,0.7908635540660145,-2.046861088519533,-1.7638981656540427,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-18,2.215,0.7952524034970989,-2.084079496263656,-1.7776232632663767,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-19,2.0592,0.7223175578597252,-2.1952457994245025,-1.3906402750805404,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-20,1.885,0.6339278208999741,-2.3892389663325475,-1.1198113882571632,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-21,1.8887,0.6358887617196634,-2.5451279832258273,-1.4279416343019753,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-22,1.9582,0.6720256839378339,-2.630338698939528,-1.6374289111405507,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-23,1.959,0.6724341389624038,-2.694597627282526,-1.6446533215951535,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-24,1.9142,0.649299780779669,-2.7662721884203747,-1.6181648666363235,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-25,1.7926,0.5836670799411242,-2.890921002847459,-1.444784220710865,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-26,1.6799,0.5187342678340314,-3.0599389536428987,-1.312656750649013,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-27,1.711,0.5370779949100565,-3.1776134479888394,-1.485393092069613,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-28,1.518,0.4173936789734382,-3.3928452069199566,-0.8612843307041416,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-29,1.4327,0.3595607759171896,-3.623282186781643,-0.9493139443903249,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-30,1.4381,0.36332279791019684,-3.805325596331843,-1.2408457768635939,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-31,1.5497,0.4380613638111523,-3.885706363316779,-1.3333409572148558,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,1.608,0.47499117075677466,-3.9133797724432204,-1.4389959831564672,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-02,1.4738,0.38784409935076186,-4.001468971538658,-1.193197351586535,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-03,1.4118,0.3448654859792347,-4.104806459693688,-1.2912957088385002,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-04,1.3912,0.3301666840579362,-4.1971405408104925,-1.2835013329193556,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-05,1.4007,0.336972111662864,-4.261994138041743,-1.298424348549469,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-06,1.9,0.6418538861723947,-4.0612950096783,1.0522363757171447,,,,,-1,0,0,1,0,0,1,0,0,1,0,0,1,0
2020-11-07,2.0215,0.7038398100986886,-3.8131530752701828,0.4285141089023292,,,,,-1,0,0,1,0,0,1,0,0,1,0,0,1,0
